38,Ehe,
9,Rasmuse tass,
14,Puidust küünlaalust,
10,Molami pudust toode,
20,Meeste Moos,
10,Viimsi Kino kinkekaart,
10,Veekeskus kinkekaart,
10,Hesburger kinkekaart,
6,Sushi Plaza kinkekaart,
10,NOExcuse Body+ kinkekaart,
30,Triin Gurmeesahver kinkekaart,
3,Delicato kinkekaart,
2,Freywille kinkekaart,
2,Urr&Nurr kinkekaart,
5,Kingikaubamaja kinkekaart,
3,Viking Line kinkekaart,
1,SPA 18+ pääse,
5,Puhas Särk kaart,
3,Margaret kinkekaart,
13,MUA Jessica auhind,
10,Marjarull,
20,Kiil helkur,
20,Karepa ürditalu toode,
15,Vigri kohvik toode,pakk
7,Vaba Aed pakk,
10,Jõulusiirup,
10,Piparmünditee,
3,MARK karp,
20,Püünsi kooli laste tehtu,
5,Vein,
4,Kuusikaru toode,
1,"Riidest kott, mesilased",
3,Jõulukotikest,
5,Menwoch lips,
1,Käpikud,
1,Elli küünal,
4,Laste tehtud seep,
1,Öömask ja tiiger,
3,Saori kott,
1,Kate ja Ilona Aasvere CD,
1,Siiri Sisask CD,
1,Oriflame kosmeetikakott,
1,Korgitser,
1,Kaelasall,
1,Veepudel,
1,Köögi komplekt,
1,Joogiklaaside komplekt,
3,Keraamika ,
18,Kalevi pähkli-marja mix,
22,Kalevi kommipakk,
10,Germund pakk,
